sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
89.85,2,grip,1,ok,0.67187,-0.09924,1.24858,1.396263,-1.545563,0.009729,0.848991,-0.13448,0.615129,0.099785,80.0,-88.5542,0.5574,48.6436,-7.7051,35.2443,5.7172,0
89.9,2,grip,1,ok,0.67576,-0.10388,1.24844,1.396263,-1.549041,0.00927,0.835421,-0.13488,0.613324,0.099918,80.0,-88.7535,0.5311,47.8661,-7.7281,35.1409,5.7249,0
89.95,2,grip,1,ok,0.67909,-0.10799,1.24834,1.396263,-1.55183,0.009177,0.823266,-0.135237,0.611685,0.100051,80.0,-88.9133,0.5258,47.1697,-7.7485,35.047,5.7325,0
90.0,2,grip,1,ok,0.68209,-0.11226,1.24822,1.396263,-1.55533,0.01,0.811777,-0.13551,0.610114,0.100181,80.0,-89.1139,0.5729,46.5114,-7.7641,34.957,5.7399,0
90.05,2,grip,1,ok,0.68458,-0.11598,1.2481,1.396263,-1.558414,0.01096,0.801831,-0.135757,0.608736,0.100311,80.0,-89.2906,0.628,45.9416,-7.7783,34.878,5.7474,0
90.1,2,grip,1,ok,0.68702,-0.11904,1.24751,1.396263,-1.561394,0.009939,0.793051,-0.136154,0.607558,0.100448,80.0,-89.4613,0.5694,45.4385,-7.8011,34.8105,5.7552,0
90.15,2,grip,1,ok,0.68911,-0.12148,1.24683,1.396263,-1.563889,0.008449,0.785666,-0.136582,0.606578,0.10059,80.0,-89.6042,0.4841,45.0154,-7.8256,34.7543,5.7634,0
90.2,2,grip,1,ok,0.6902,-0.12263,1.24544,1.396263,-1.568198,0.005203,0.783141,-0.137096,0.60626,0.100742,80.0,-89.8511,0.2981,44.8707,-7.855,34.7362,5.7721,0
90.25,2,grip,1,ok,0.69083,-0.12325,1.24398,1.396263,-1.572445,0.001844,0.782271,-0.137603,0.606182,0.100895,80.0,-90.0945,0.1056,44.8208,-7.8841,34.7317,5.7809,0
90.3,2,grip,1,ok,0.69118,-0.12364,1.2427,1.396263,-1.57611,-0.00107,0.781951,-0.138069,0.606175,0.101047,80.0,-90.3044,-0.0613,44.8025,-7.9108,34.7313,5.7896,0
