frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg,roll_deg_original,roll_deg_cleaned,roll_deg_transformed,is_outlier,motion_phase,difference,rmse
711,2,0.2473,24.73,-162.79,-48.73,155.34,155.34,155.34,155.0,False,movement,-0.3400000000000034,192.1563593708693
712,2,0.2461,24.61,-163.93,-46.12,155.65,155.65,155.65,155.0,False,movement,-0.6500000000000057,192.1563593708693
713,2,0.2461,24.61,-171.14,5.92,-168.35,-168.35,-168.35,90.0,False,movement,258.35,192.1563593708693
714,2,0.2442,24.42,-171.39,4.13,-168.06,-168.06,-168.06,90.0,False,movement,258.06,192.1563593708693
715,2,0.2427,24.27,-171.62,3.04,-167.96,-167.96,-167.96,90.0,False,movement,257.96000000000004,192.1563593708693
717,2,0.2396,23.96,-172.53,0.71,-166.28,-166.28,-166.28,90.0,False,movement,256.28,192.1563593708693
718,2,0.2387,23.87,-172.47,0.62,-167.32,-167.32,-167.32,90.0,False,movement,257.32,192.1563593708693
719,2,0.2382,23.82,-172.68,-0.47,-166.68,-166.68,-166.68,90.0,False,movement,256.68,192.1563593708693
720,2,0.2372,23.72,-172.48,-0.89,-165.67,-165.67,-165.67,90.0,False,movement,255.67,192.1563593708693
721,2,0.2378,23.78,-173.03,-0.97,-166.49,-166.49,-166.49,90.0,False,movement,256.49,192.1563593708693
722,2,0.2357,23.57,-172.62,-1.19,-165.39,-165.39,-165.39,90.0,False,movement,255.39,192.1563593708693
723,2,0.2361,23.61,-172.56,-1.73,-165.92,-165.92,-165.92,90.0,False,movement,255.92,192.1563593708693
724,2,0.2358,23.58,-172.88,-1.91,-165.78,-165.78,-165.78,90.0,False,movement,255.78,192.1563593708693
725,2,0.235,23.5,-173.16,-1.45,-165.69,-165.69,-165.69,90.0,False,movement,255.69,192.1563593708693
726,2,0.2598,25.98,-173.35,-2.78,-169.24,-169.24,-169.24,90.0,False,movement,259.24,192.1563593708693
729,2,0.2348,23.48,-173.73,-0.26,-166.95,-166.95,-166.95,90.0,False,movement,256.95,192.1563593708693
730,2,0.235,23.5,-173.32,0.77,-167.46,-167.46,-167.46,90.0,False,movement,257.46000000000004,192.1563593708693
731,2,0.2338,23.38,-173.51,1.55,-167.0,-167.0,-167.0,90.0,False,movement,257.0,192.1563593708693
780,2,0.2352,23.52,-176.59,31.97,178.5,178.5,178.5,155.0,False,movement,-23.5,192.1563593708693
781,2,0.2345,23.45,-176.37,30.67,178.5,178.5,178.5,155.0,False,movement,-23.5,192.1563593708693
798,2,0.248,24.8,-168.23,-0.67,-166.79,-166.79,-166.79,90.0,False,movement,256.78999999999996,192.1563593708693
799,2,0.2245,22.45,-167.83,-0.13,-164.07,-164.07,-164.07,90.0,False,movement,254.07,192.1563593708693
800,2,0.2463,24.63,-167.86,-1.24,-165.2,-165.2,-165.2,90.0,False,movement,255.2,192.1563593708693
801,2,0.2477,24.77,-167.53,-2.78,-164.52,-164.52,-164.52,90.0,False,movement,254.52,192.1563593708693
802,2,0.2239,22.39,-167.46,-0.04,-163.26,-163.26,-163.26,90.0,False,movement,253.26,192.1563593708693
803,2,0.2483,24.83,-167.56,-1.19,-165.43,-165.43,-165.43,90.0,False,movement,255.43,192.1563593708693
804,2,0.2499,24.99,-166.88,-1.44,-166.36,-166.36,-166.36,90.0,False,movement,256.36,192.1563593708693
805,2,0.2515,25.15,-166.73,-2.82,-166.41,-166.41,-166.41,90.0,False,movement,256.40999999999997,192.1563593708693
806,2,0.2516,25.16,-166.73,-2.12,-166.17,-166.17,-166.17,90.0,False,movement,256.16999999999996,192.1563593708693
807,2,0.2292,22.92,-167.1,-0.82,-165.79,-165.79,-165.79,90.0,False,movement,255.79,192.1563593708693
808,2,0.2549,25.49,-167.27,-0.64,-168.52,-168.52,-168.52,90.0,False,movement,258.52,192.1563593708693
809,2,0.229,22.9,-167.38,0.4,-165.82,-165.82,-165.82,90.0,False,movement,255.82,192.1563593708693
810,2,0.2293,22.93,-167.54,-0.37,-165.19,-165.19,-165.19,90.0,False,movement,255.19,192.1563593708693
811,2,0.2302,23.02,-167.81,-0.91,-164.37,-164.37,-164.37,90.0,False,movement,254.37,192.1563593708693
814,2,0.232,23.2,-168.44,1.75,-167.63,-167.63,-167.63,90.0,False,movement,257.63,192.1563593708693
815,2,0.2333,23.33,-168.42,0.39,-167.62,-167.62,-167.62,90.0,False,movement,257.62,192.1563593708693
817,2,0.2327,23.27,-168.43,2.99,-167.86,-167.86,-167.86,90.0,False,movement,257.86,192.1563593708693
819,2,0.2331,23.31,-164.85,-40.05,158.78,158.78,158.78,155.0,False,movement,-3.780000000000001,192.1563593708693
820,2,0.2327,23.27,-163.79,-41.85,157.75,157.75,157.75,155.0,False,movement,-2.75,192.1563593708693
821,2,0.2339,23.39,-163.44,-41.88,157.99,157.99,157.99,155.0,False,movement,-2.990000000000009,192.1563593708693
822,2,0.2337,23.37,-162.38,-42.3,156.94,156.94,156.94,155.0,False,movement,-1.9399999999999977,192.1563593708693
823,2,0.2337,23.37,-162.14,-43.27,156.35,156.35,156.35,155.0,False,movement,-1.3499999999999943,192.1563593708693
824,2,0.234,23.4,-160.91,-44.25,155.51,155.51,155.51,155.0,False,movement,-0.5099999999999909,192.1563593708693
826,2,0.2348,23.48,-160.09,-45.4,155.26,155.26,155.26,155.0,False,movement,-0.2599999999999909,192.1563593708693
827,2,0.2352,23.52,-159.27,-45.71,154.06,154.06,154.06,155.0,False,movement,0.9399999999999977,192.1563593708693
828,2,0.2351,23.51,-159.36,-46.87,154.63,154.63,154.63,155.0,False,movement,0.37000000000000455,192.1563593708693
829,2,0.2342,23.42,-158.48,-48.28,154.04,154.04,154.04,155.0,False,movement,0.960000000000008,192.1563593708693
830,2,0.2347,23.47,-158.27,-47.97,153.55,153.55,153.55,155.0,False,movement,1.4499999999999886,192.1563593708693
832,2,0.2349,23.49,-157.39,-50.42,153.67,153.67,153.67,155.0,False,movement,1.3300000000000125,192.1563593708693
834,2,0.2343,23.43,-155.84,-52.07,152.27,152.27,152.27,155.0,False,movement,2.7299999999999898,192.1563593708693
835,2,0.2346,23.46,-155.92,-51.93,152.34,152.34,152.34,155.0,False,movement,2.6599999999999966,192.1563593708693
836,2,0.236,23.6,-156.19,-51.49,152.57,152.57,152.57,155.0,False,movement,2.430000000000007,192.1563593708693
838,2,0.2359,23.59,-155.59,-52.62,152.34,152.34,152.34,155.0,False,movement,2.6599999999999966,192.1563593708693
840,2,0.2367,23.67,-155.62,-53.55,152.39,152.39,152.39,155.0,False,movement,2.6100000000000136,192.1563593708693
841,2,0.2366,23.66,-155.32,-54.15,151.69,151.69,151.69,155.0,False,movement,3.3100000000000023,192.1563593708693
842,2,0.2376,23.76,-155.4,-54.51,152.04,152.04,152.04,155.0,False,movement,2.960000000000008,192.1563593708693
845,2,0.2382,23.82,-154.79,-56.39,151.36,151.36,151.36,155.0,False,movement,3.6399999999999864,192.1563593708693
847,2,0.2379,23.79,-153.41,-56.99,150.09,150.09,150.09,155.0,False,movement,4.909999999999997,192.1563593708693
848,2,0.2375,23.75,-153.15,-57.37,149.63,149.63,149.63,155.0,False,movement,5.3700000000000045,192.1563593708693
850,2,0.2376,23.76,-153.08,-57.57,149.94,149.94,149.94,155.0,False,movement,5.060000000000002,192.1563593708693
855,2,0.2379,23.79,-154.07,-57.62,150.41,150.41,150.41,155.0,False,movement,4.590000000000003,192.1563593708693
858,2,0.2373,23.73,-155.05,-57.15,151.19,151.19,151.19,155.0,False,movement,3.8100000000000023,192.1563593708693
860,2,0.2377,23.77,-155.95,-55.19,151.66,151.66,151.66,155.0,False,movement,3.3400000000000034,192.1563593708693
865,2,0.2381,23.81,-161.37,-47.42,154.71,154.71,154.71,155.0,False,movement,0.28999999999999204,192.1563593708693
866,2,0.239,23.9,-163.18,-44.51,154.49,154.49,154.49,155.0,False,movement,0.5099999999999909,192.1563593708693
867,2,0.2373,23.73,-164.29,-43.83,156.02,156.02,156.02,155.0,False,movement,-1.0200000000000102,192.1563593708693
868,2,0.238,23.8,-165.16,-42.27,157.08,157.08,157.08,155.0,False,movement,-2.0800000000000125,192.1563593708693
869,2,0.2391,23.91,-169.98,4.53,-164.17,-164.17,-164.17,90.0,False,movement,254.17,192.1563593708693
870,2,0.239,23.9,-170.83,4.48,-165.58,-165.58,-165.58,90.0,False,movement,255.58,192.1563593708693
871,2,0.2375,23.75,-170.71,4.22,-165.15,-165.15,-165.15,90.0,False,movement,255.15,192.1563593708693
873,2,0.2381,23.81,-171.74,2.15,-165.33,-165.33,-165.33,90.0,False,movement,255.33,192.1563593708693
874,2,0.2371,23.71,-171.74,0.96,-164.95,-164.95,-164.95,90.0,False,movement,254.95,192.1563593708693
875,2,0.237,23.7,-171.56,0.55,-164.73,-164.73,-164.73,90.0,False,movement,254.73,192.1563593708693
876,2,0.2361,23.61,-171.59,0.02,-164.32,-164.32,-164.32,90.0,False,movement,254.32,192.1563593708693
877,2,0.2362,23.62,-171.29,-0.94,-164.29,-164.29,-164.29,90.0,False,movement,254.29,192.1563593708693
878,2,0.2348,23.48,-170.91,-1.71,-164.15,-164.15,-164.15,90.0,False,movement,254.15,192.1563593708693
879,2,0.2336,23.36,-170.56,-1.12,-164.69,-164.69,-164.69,90.0,False,movement,254.69,192.1563593708693
880,2,0.2334,23.34,-170.43,-1.22,-164.9,-164.9,-164.9,90.0,False,movement,254.9,192.1563593708693
881,2,0.2333,23.33,-170.47,-2.33,-164.18,-164.18,-164.18,90.0,False,movement,254.18,192.1563593708693
882,2,0.2595,25.95,-170.87,-4.31,-169.16,-169.16,-169.16,90.0,False,movement,259.15999999999997,192.1563593708693
